clientId,country,product_id
32594,MG,9283
32594,MG,9283
23903,SP,4869
44515,PR,19048
44515,PR,19048
44515,PR,19048
44515,PR,19048
44515,PR,19048
39228,SP,5672
16097,PE,11974
64673,BA,5515
68096,ES,30139
21386,MG,18649
24282,MG,3373
18821,SP,8512
2728,SP,12123
74016,SP,10579
16517,BA,22595
44995,SP,20530
61396,SP,16819
14658,SP,2265
82535,SP,22354
13665,SP,16625
4623,DF,843
40157,MG,1287
33684,BA,17243
43992,SP,27091
33146,SP,25504
16767,SP,28018
68559,DF,3117
94963,SP,3364
94963,SP,3364
4023,RJ,8346
39855,SP,2416
75579,SP,13652
9762,RJ,14835
64985,SP,1928
33696,RJ,5522
78726,SP,18139
10583,SP,10668
72778,PR,1159
19797,SP,29219
93762,RO,16985
82978,SP,21392
82978,SP,21392
75873,MG,21122
10604,DF,9564
88612,MG,4134
51859,SP,23661
10204,GO,19761
31452,TO,15273
48437,MG,9481
52910,SP,10861
52910,SP,10861
91451,SP,1421
54392,BA,20793
38869,PB,12293
57769,MG,19152
22195,SC,3067
38666,SP,15154
32677,SP,6186
689,SP,28531
30957,RJ,5941
41835,RS,29565
41835,RS,29565
24031,RJ,25740
84020,SP,20742
7332,RJ,3000
62164,SP,5919
73013,SP,24338
1602,BA,5283
16461,RJ,30670
16461,RJ,30670
47033,SC,7301
87030,MG,16026
8773,SP,20907
64473,PA,13438
8417,SP,16601
38349,RJ,6275
47647,MT,627
47647,MT,627
2946,SP,15475
11640,SP,5580
5948,PA,15056
16979,SP,12735
40745,DF,19416
40745,DF,19416
83650,SP,10553
55476,MG,17475
2817,PR,28288
10690,SP,16919
81530,SP,29822
81530,SP,29822
44611,BA,26659
86784,SP,20806
81192,SP,24064
65623,SP,23717
86845,SP,2410
38476,SP,30919
94126,RS,4981
19801,SP,11668
13979,SP,15572
8780,MA,24950
33448,SP,8472
73967,PR,8684
60964,SP,31251
56166,SP,23318
72231,SP,4148
64758,SP,30401
64758,SP,30401
64758,SP,30401
64758,SP,30401
64758,SP,30401
39616,MG,21933
39616,MG,21933
21786,SP,25387
21786,SP,25387
69245,SP,11493
40010,SP,11553
6668,PR,734
13578,MG,153
13578,MG,153
20816,SP,7863
8412,SP,25192
8412,SP,25192
57576,PE,1252
22324,SC,13993
18170,SP,63
78738,RS,14908
42070,RS,21851
7470,SP,12038
14877,SC,28312
62078,SP,7806
66537,SP,10000
32259,MG,20870
40446,MG,28849
24202,MG,3590
82646,MG,12443
24134,SP,28018
16331,RJ,1277
16331,RJ,1277
11018,SC,31603
34704,GO,347
636,SP,3017
77825,SP,16813
60004,PR,20483
2743,MG,14997
55333,AM,30374
5256,RJ,7962
